sample,field,date,sampling.period,tillage,irrigation,fertilizer,crop_rotation,residue,cover_crop,clay,gwc,protozoa,BactSum,FungSum,FBRatio,GPosSum,GNegSum,ActSum,SapSum,AMF,total.fame,P,K,Mg,Ca,pH,CEC,S,B,Zn,Mn,Fe,Cu,OM,no3.ppm,nh4.ppm,total.N,original.field,year
JB1,JB-JB1-17,6/23/17,17-Jun,no,yes,yes,yes,medium-high,no,13.12,11.1790393,0.664,29.676,32.687,1.101,16.112,4.147,9.417,26.398,6.289,108.7824709,131,937,1459,8278,8.3,28.77,68,4.12,6.49,61,53,2.15,0.56,15.29,1.08,16.37,JB1,2017
JB2,JB-JB1-17,6/23/17,17-Jun,no,yes,yes,yes,medium-high,no,13.12,15.29051988,1.972,53.758,66.745,1.242,29.496,8.083,16.179,48.07,18.675,207.9103189,55,965,1767,8110,8.2,30.07,112,5.79,2.93,105,48,2.3,0.76,15.49,1.19,16.68,JB1,2017
JB3,JB-JB1-17,6/23/17,17-Jun,no,yes,yes,yes,medium-high,no,13.12,12.19974716,2.729,59.456,76.518,1.287,31.689,9.999,17.768,59.853,16.665,235.4667579,67,934,1480,8563,8.3,29.57,176,4.62,3.88,83,45,1.9,0.75,17.5,1.48,18.98,JB1,2017
JB4,JB-JB1-17,6/23/17,17-Jun,no,yes,yes,yes,medium-high,no,13.12,11.59263272,0.787,20.881,94.292,4.516,10.658,3.257,6.966,87.283,7.009,156.931357,54,747,1505,9262,8.5,31.18,50,3.76,3.11,69,39,1.58,0.73,13.41,1.28,14.69,JB1,2017
JB5,JB-JB2-17,6/23/17,17-Jun,minimal,yes,yes,yes,medium-high,no,11.64,2.46618934,0.169,9.687,11.507,1.188,4.932,1.365,3.39,10.04,1.467,39.07717199,34,436,292,9416,8.3,26.11,11,1.38,1.04,77,36,1.5,0.31,2.07,1.21,3.28,JB2,2017
JB6,JB-JB2-17,6/23/17,17-Jun,minimal,yes,yes,yes,medium-high,no,11.64,0.985915493,0.203,11.581,16.154,1.395,6.361,1.527,3.693,14.768,1.386,51.83235119,46,544,318,9060,8.4,25.47,12,1.54,1.8,89,50,1.86,0.45,6.25,2.2,8.45,JB2,2017
JB7,JB-JB2-17,6/23/17,17-Jun,minimal,yes,yes,yes,medium-high,no,11.64,1.649175412,0.213,13.676,12.593,0.921,7.118,1.826,4.732,11.277,1.316,47.18905317,30,488,344,9062,8.2,25.51,10,1.59,2.06,97,53,2.14,0.4,2.3,2.28,4.58,JB2,2017
JB8,JB-JB2-17,6/23/17,17-Jun,minimal,yes,yes,yes,medium-high,no,11.64,4.074979625,0.167,12.808,11.827,0.923,6.383,1.718,4.707,10.208,1.619,42.82853547,26,555,336,8452,8.4,24.04,13,1.56,1,122,46,2.12,0.52,2.63,2.04,4.67,JB2,2017
JB9,JB-JB3-17,6/23/17,17-Jun,no,yes,no,no,none-low,yes,13.76,12.70096463,0.832,32.799,37.375,1.14,17.882,4.656,10.261,29.969,7.406,122.9405892,154,764,1751,5238,8.2,22.17,77,4.21,4.65,111,58,1.87,0.72,18.31,2.17,20.48,JB3,2017
JB10,JB-JB3-17,6/23/17,17-Jun,no,yes,no,no,none-low,yes,13.76,14.80968858,1.971,76.171,98.511,1.293,45.481,10.271,20.419,89.212,9.299,317.9213675,178,948,1661,5904,8.3,24.09,65,4.68,4.84,93,58,1.76,0.8,22.88,1.87,24.75,JB3,2017
JB11,JB-JB3-17,6/23/17,17-Jun,no,yes,no,no,none-low,yes,13.76,13.73471308,0.835,32.402,55.292,1.706,17.331,4.941,10.13,46.154,9.138,136.5275096,72,538,1477,3595,8.4,16.63,46,3.58,2.66,89,58,1.7,0.54,3.75,1.57,5.32,JB3,2017
JB12,JB-JB3-17,6/23/17,17-Jun,no,yes,no,no,none-low,yes,13.76,12.7016129,0.747,25.626,29.932,1.168,13.467,3.849,8.31,22.101,7.831,95.37594104,107,715,1822,2650,8.4,15.93,73,4.19,4.29,120,77,1.99,0.65,9.73,1.77,11.5,JB3,2017
MH1,MH-MH1-17,6/26/17,17-Jun,no,no,yes,no,none-low,yes,17.48,15.28165086,0.954,40.416,52.797,1.306,25.37,4.017,11.029,47.844,4.953,177.2534939,122,937,389,3381,7.5,12.47,7,1.21,1.62,190,102,2.37,0.69,0.31,1.87,2.18,MH1,2017
MH2,MH-MH1-17,6/26/17,17-Jun,no,no,yes,no,none-low,yes,17.48,13.91875747,0.759,39.021,44.8,1.148,22.747,4.27,12.004,39.317,5.483,153.9240649,144,1482,457,3650,7.6,14.52,9,1.72,2.31,191,95,2.37,1.01,1.49,2.22,3.71,MH1,2017
MH3,MH-MH1-17,6/26/17,17-Jun,no,no,yes,no,none-low,yes,17.48,13.26116373,0.676,35.353,46.333,1.311,20.89,3.931,10.532,41.546,4.787,150.44811,126,936,341,3682,7.8,13.02,8,1.41,1.9,169,77,2.41,0.95,0.41,1.6,2.01,MH1,2017
MH4,MH-MH1-17,6/26/17,17-Jun,no,no,yes,no,none-low,yes,17.48,13.37683524,0.558,28.272,30.422,1.076,16.106,3.113,9.053,27.042,3.38,107.2920089,128,1056,389,3929,7.7,14.39,9,1.58,2.02,207,86,2.7,0.81,0.6,1.36,1.96,MH1,2017
F2-1,RN-F2-1-17,6/30/17,17-Jun,no,yes,yes,no,medium-high,yes,24.4,,1.661,47.00103531,42.535,0.904980065,26.44403531,6.417,14.14,37.317,5.218,,91,1247,1629,4394,8.2,20.57,27,6.48,7.45,308,76,3.89,1.34,11.96,1.52,13.48,F2-1,2017
F2-2,RN-F2-2-17,6/30/17,17-Jun,no,yes,yes,no,medium-high,yes,24.4,,1.453,43.23533195,39.742,0.919201917,23.25633195,6.046,13.933,33.761,5.981,,55,1113,1748,4426,8.2,20.97,25,7.04,5.08,316,81,4.39,1.37,11.03,1.3,12.33,F2-2,2017
F2-3,RN-F2-3-17,6/30/17,17-Jun,no,yes,yes,no,medium-high,yes,24.4,,2.28,45.74898473,48.679,1.064045471,24.85398473,6.21,14.685,41.183,7.496,,56,1312,1564,3925,8.3,19.21,20,5.65,4.33,315,72,3.75,1.07,4.75,1.6,6.35,F2-3,2017
F2-4,RN-F2-4-17,6/30/17,17-Jun,no,yes,yes,no,medium-high,yes,24.4,,0.851,31.89347205,28.003,0.878016666,16.08847205,4.398,11.407,24.595,3.408,,59,1158,1649,4423,8.6,20.61,34,6.92,4.32,341,73,3.95,1.11,8.96,1.15,10.11,F2-4,2017
F2-5,RN-F2-5-17,6/30/17,17-Jun,no,no,yes,no,none-low,yes,24.4,,1.609,55.64939963,49.939,0.897386141,30.13539963,7.835,17.679,42.413,7.526,,114,1004,1443,3652,8.1,17.62,22,4.83,5.85,304,96,3.94,1.3,8.35,0.85,9.2,F2-5,2017
F2-6,RN-F2-6-17,6/30/17,17-Jun,no,no,yes,no,none-low,yes,24.4,,1.718,50.99318756,55.277,1.084007544,29.25018756,6.881,14.862,47.558,7.719,,109,1127,1673,3702,8.1,18.87,22,4.86,6.34,302,117,4.65,1.38,7.56,1.53,9.09,F2-6,2017
F2-1,RN-F2-1-17,7/27/17,17-Jul,no,yes,yes,no,medium-high,yes,24.4,,1.638,58.13933086,55.32,0.951507339,32.89033086,8.116,17.133,48.218,7.102,,149,1292,1716,4779,8.4,22.35,30,6.57,8.91,304,79,4.45,1.43,8.48,1.47,9.95,F2-1,2017
F2-2,RN-F2-2-17,7/27/17,17-Jul,no,yes,yes,no,medium-high,yes,24.4,,2.421,63.79527163,76.907,1.205528216,36.79127163,8.409,18.595,67.042,9.865,,63,1469,1920,4693,8.4,23.21,31,6.66,6.48,340,86,5.1,1.54,9.92,1.43,11.35,F2-2,2017
F2-3,RN-F2-3-17,7/27/17,17-Jul,no,yes,yes,no,medium-high,yes,24.4,,1.707,55.92251344,67.386,1.204988758,31.10951344,7.935,16.878,55.835,11.551,,70,1101,1724,4136,8.5,20.13,30,7.49,5.89,328,75,4.44,1.22,9.69,1.11,10.8,F2-3,2017
F2-4,RN-F2-4-17,7/27/17,17-Jul,no,yes,yes,no,medium-high,yes,24.4,,1.001,36.75581974,34.006,0.925186821,18.84581974,5.867,12.043,28.756,5.25,,93,1257,1882,5064,8.6,23.31,39,7,7.83,355,78,4.63,1.39,6.7,1.21,7.91,F2-4,2017
F2-5,RN-F2-5-17,7/27/17,17-Jul,no,no,yes,no,none-low,yes,24.4,,2.538,80.24312496,97.428,1.214160092,46.61512496,11.678,21.95,87.795,9.633,,159,1301,1687,4276,8.3,20.58,29,5.19,8.84,315,155,5.1,1.33,6.79,1.51,8.3,F2-5,2017
F2-6,RN-F2-6-17,7/27/17,17-Jul,no,no,yes,no,none-low,yes,24.4,,14.521,74.09858506,108.485,1.464063044,42.78758506,11.383,19.928,94.241,14.244,,57,1350,1653,3986,8.1,20.18,26,3.75,5.71,270,160,4.7,1.36,4.43,1.47,5.9,F2-6,2017
F2-1,RN-F2-1-17,8/25/17,17-Aug,no,yes,yes,no,medium-high,yes,24.4,,2.044,60.40107373,61.361,1.015892537,34.28907373,8.332,17.78,50.897,10.464,,79,1135,1575,4277,8.3,19.91,23,5.57,8.31,301,73,4.09,1.36,3.51,2.44,5.95,F2-1,2017
F2-2,RN-F2-2-17,8/25/17,17-Aug,no,yes,yes,no,medium-high,yes,24.4,,1.934,47.35987216,49.126,1.037291651,25.38387216,7.238,14.738,39.04,10.086,,45,1104,1810,4310,8.2,21.33,28,6.19,6.05,319,85,4.7,1.49,3.9,2.01,5.91,F2-2,2017
F2-3,RN-F2-3-17,8/25/17,17-Aug,no,yes,yes,no,medium-high,yes,24.4,,1.486,46.65527717,53.51,1.146922776,24.71327717,6.678,15.264,42.624,10.886,,59,1080,1672,3842,8.3,19.15,17,6.17,4.89,332,70,4.15,1.12,3.39,2.92,6.31,F2-3,2017
F2-4,RN-F2-4-17,8/25/17,17-Aug,no,yes,yes,no,medium-high,yes,24.4,,1.78,51.73314148,49.46,0.956060246,26.91314148,7.617,17.203,38.817,10.643,,95,1364,1830,5175,8.4,23.51,27,7.24,7.87,367,79,4.5,1.2,2.3,1.94,4.24,F2-4,2017
F2-5,RN-F2-5-17,8/25/17,17-Aug,no,no,yes,no,none-low,yes,24.4,,1.063,32.4809383,29.637,0.912442853,17.3549383,4.598,10.528,24.315,5.322,,114,993,1636,3950,8.1,19.16,20,5.37,7.22,336,114,4.74,1.28,3.68,2.41,6.09,F2-5,2017
F2-6,RN-F2-6-17,8/25/17,17-Aug,no,no,yes,no,none-low,yes,24.4,,3.39,31.54302284,30.054,0.952793908,16.42402284,4.472,10.647,24.325,5.729,,58,1075,1694,3198,7.7,18.03,15,3.62,3.46,338,118,5.01,1.04,1.84,2.5,4.34,F2-6,2017
Cont1,TG-Cont1-17,8/25/17,17-Aug,yes,no,no,yes,medium-high,no,16.3,,0.943,32.49431782,35.067,1.079173294,16.84531782,5.161,10.488,29.867,5.2,,50,883,1761,5901,8.6,24.42,69,6.92,4.6,144,83,3.57,0.96,15.65,2.16,17.81,Cont1,2017
Cont2,TG-Cont2-17,8/25/17,17-Aug,yes,no,no,yes,medium-high,no,16.3,,2.3,54.40828448,66.952,1.230547896,29.85828448,8.829,15.721,57.629,9.323,,51,736,1328,2625,8.3,14.23,22,4.8,3.58,109,79,2.64,0.78,2.5,3,5.5,Cont2,2017
Cont3,TG-Cont3-17,8/25/17,17-Aug,yes,yes,yes,yes,none-low,no,16.3,,1.799,45.25411122,64.024,1.414766488,25.75311122,7.171,12.33,56.627,7.397,,139,931,1260,2783,8.2,14.6,17,4.1,6.93,138,78,2.42,0.79,2,2.14,4.14,Cont3,2017
Cont4,TG-Cont4-17,8/25/17,17-Aug,yes,yes,yes,yes,none-low,no,16.3,,2.186,53.49459863,77.965,1.457436863,29.94259863,8.443,15.109,63.959,14.006,,49,862,1331,2580,8.2,14.3,18,4.63,3.85,155,76,2.86,0.66,2.13,2.29,4.42,Cont4,2017
JB1,JB-JB1-17,8/30/17,17-Sep,no,yes,yes,yes,medium-high,no,13.12,10.14176663,1.246,42.322,61.111,1.444,21.965,6.789,13.568,55.006,6.105,178.5406928,134,565,1034,2548,7.7,12.6,46,2.56,7.93,97,76,2.02,0.53,2.92,1.28,4.2,JB1,2017
JB2,JB-JB1-17,8/30/17,17-Sep,no,yes,yes,yes,medium-high,no,13.12,11.84486373,1.184,38.731,45.847,1.184,21.399,5.759,11.573,36.208,9.639,147.6597765,88,615,1366,8682,8.4,28.98,51,3.6,4.31,61,39,1.55,0.58,3.52,0.74,4.26,JB1,2017
JB5,JB-JB2-17,8/30/17,17-Sep,minimal,yes,yes,yes,medium-high,no,11.64,5.109489051,0.774,11.748,12.936,1.101,5.989,1.933,3.826,8.649,4.287,46.34321323,13,449,327,2455,6.3,9.67,13,0.83,0.49,106,60,1.72,0.22,0.48,1.29,1.77,JB2,2017
JB6,JB-JB2-17,8/30/17,17-Sep,minimal,yes,yes,yes,medium-high,no,11.64,4.776739356,0.246,9.781,10.002,1.023,4.641,1.438,3.702,8.266,1.736,35.06410977,36,535,311,9764,8.3,27.19,14,1.39,1.15,80,31,1.88,0.27,0.88,0.38,1.26,JB2,2017
JB9,JB-JB3-17,8/30/17,17-Sep,no,yes,no,no,none-low,yes,13.76,3.696098563,1.031,42.546,42.68,1.003,25.233,5.61,11.703,37.769,4.911,158.8003654,109,634,1599,2442,8.1,14.38,14,2.98,7.86,106,62,1.75,0.59,1.53,0.81,2.34,JB3,2017
JB10,JB-JB3-17,8/30/17,17-Sep,no,yes,no,no,none-low,yes,13.76,6.044538706,0.561,28.275,23.795,0.842,15.232,4.301,8.742,19.44,4.355,99.68994876,168,686,1618,2525,8.4,15.13,31,3.38,5.07,103,65,1.91,0.37,3.4,2.16,5.56,JB3,2017
JB3,JB-JB1-17,9/5/17,17-Sep,no,yes,yes,yes,medium-high,no,13.12,7.354555434,2.409,52.604,86.723,1.649,30.428,6.993,15.183,67.868,18.855,240.4431684,90,708,1334,3154,8.3,15.55,31,3.13,4.26,79,60,1.81,0.48,2.28,1.1,3.38,JB1,2017
JB4,JB-JB1-17,9/5/17,17-Sep,no,yes,yes,yes,medium-high,no,13.12,7.204301075,1.694,38.159,51.747,1.356,20.625,5.906,11.628,38.436,13.311,165.2210584,141,551,1218,3935,8.2,16.41,56,3.5,5.62,82,58,1.84,0.54,1.69,0.49,2.18,JB1,2017
JB7,JB-JB2-17,9/5/17,17-Sep,minimal,yes,yes,yes,medium-high,no,11.64,2.597402597,0.252,11.532,16.56,1.436,5.723,1.671,4.138,12.506,4.054,50.05965546,42,479,302,10350,8.4,28.94,12,1.47,1.13,79,32,1.75,0.31,1.12,0.61,1.73,JB2,2017
JB8,JB-JB2-17,9/5/17,17-Sep,minimal,yes,yes,yes,medium-high,no,11.64,2.123552124,0.237,12.722,16.471,1.295,6.702,1.768,4.252,12.641,3.83,53.60553574,42,548,345,10420,8.4,28.99,15,1.49,1.21,81,37,1.81,0.35,1.33,0.94,2.27,JB2,2017
JB11,JB-JB3-17,9/5/17,17-Sep,no,yes,no,no,none-low,yes,13.76,2.147239264,0.529,28.668,34.02,1.187,16.772,3.793,8.103,30.671,3.349,110.2971351,95,691,1613,2271,8.1,14.48,14,2.8,6.68,104,67,1.68,0.49,1.5,1.48,2.98,JB3,2017
JB12,JB-JB3-17,9/5/17,17-Sep,no,yes,no,no,none-low,yes,13.76,3.653444676,1.369,49.926,61.497,1.232,28.96,7.547,13.419,50.773,10.724,213.4340121,149,919,1325,2194,7.9,12.98,21,2.81,4.61,100,67,1.67,0.56,1.62,1.92,3.54,JB3,2017
F2-1,RN-F2-1-17,10/3/17,17-Oct,no,yes,yes,no,medium-high,yes,24.4,,3.245,80.29640843,80.576,1.003481993,45.43640843,11.612,23.248,66.698,13.878,,109,1371,1835,5138,8.2,23.84,29,6.18,9.73,332,82,4.47,1.49,5.24,1.46,6.7,F2-1,2017
F2-2,RN-F2-2-17,10/3/17,17-Oct,no,yes,yes,no,medium-high,yes,24.4,,1.689,45.33104926,49.513,1.092253562,25.36804926,6.513,13.45,38.457,11.056,,72,1353,2024,4929,8.1,24.09,23,6.38,8.06,376,83,5.15,1.37,5.1,1.53,6.63,F2-2,2017
F2-3,RN-F2-3-17,10/3/17,17-Oct,no,yes,yes,no,medium-high,yes,24.4,,2.48,70.77715983,102.503,1.448249693,40.17715983,10.336,20.264,82.973,19.53,,109,1377,1972,5108,8.1,24.75,27,7.03,12.38,339,79,4.21,1.8,7.91,1.64,9.55,F2-3,2017
F2-4,RN-F2-4-17,10/3/17,17-Oct,no,yes,yes,no,medium-high,yes,24.4,,3.585,88.32125573,112.694,1.27595559,50.97825573,12.533,24.81,92.558,20.136,,112,1405,2030,5855,8.3,26.49,30,7.22,11.67,373,83,4.6,1.47,5.1,1.49,6.59,F2-4,2017
F2-5,RN-F2-5-17,10/3/17,17-Oct,no,no,yes,no,none-low,yes,24.4,,2.952,72.89637782,92.299,1.266167164,41.62237782,10.282,20.992,73.323,18.976,,177,1079,1686,4512,7.9,21.28,29,5.35,10.49,344,133,4.89,1.42,7.68,1.88,9.56,F2-5,2017
F2-6,RN-F2-6-17,10/3/17,17-Oct,no,no,yes,no,none-low,yes,24.4,,4.863,51.14132588,63.887,1.249224554,28.97532588,7.424,14.742,50.802,13.085,,113,1234,1815,3967,7.8,21.46,25,4.37,8.83,300,126,4.87,1.56,5.87,1.75,7.62,F2-6,2017
Cont1,TG-Cont1-17,10/3/17,17-Oct,yes,no,no,yes,medium-high,no,16.3,,1.806,48.01827499,63.292,1.318081502,25.30627499,7.767,14.945,51.809,11.483,,58,1079,1877,5175,6.7,23.74,20,6.72,4.57,162,82,3.61,1.35,3.05,1.48,4.53,Cont1,2017
Cont2,TG-Cont2-17,10/3/17,17-Oct,yes,no,no,yes,medium-high,no,16.3,,1.92,50.82450479,62.797,1.235565408,27.35950479,8.055,15.41,55.273,7.524,,54,898,1587,3145,7.4,17.22,21,5.81,3.99,134,73,2.8,0.58,4,1.41,5.41,Cont2,2017
Cont3,TG-Cont3-17,10/3/17,17-Oct,yes,yes,yes,yes,none-low,no,16.3,,2.413,42.85583642,80.715,1.883407413,23.94483642,6.909,12.002,66.719,13.996,,124,956,1349,2889,7.7,15.66,18,4.17,6.35,153,68,2.35,1.1,4.33,1.26,5.59,Cont3,2017
Cont4,TG-Cont4-17,10/3/17,17-Oct,yes,yes,yes,yes,none-low,no,16.3,,1.95,42.98015967,68.546,1.594828882,24.36415967,6.823,11.793,56.513,12.033,,70,956,1449,2898,7.9,15.7,15,4.34,4.93,174,67,2.76,1.27,3.57,1.43,5,Cont4,2017
F2-1,RN-F2-1-17,10/30/17,17-Nov,no,yes,yes,no,medium-high,yes,24.4,,2.507,47.59597324,58.943,1.238403083,26.08197324,6.703,14.811,46.114,12.829,,96,1151,1612,3963,8,19.29,20,5.86,5.7,300,79,4.3,1.18,2.9331,2.0795,5.0126,F2-1,2017
F2-2,RN-F2-2-17,10/30/17,17-Nov,no,yes,yes,no,medium-high,yes,24.4,,2.001,36.86426738,43.367,1.176396632,18.45926738,5.702,12.703,30.685,12.682,,49,1115,1884,4258,8.1,21.52,17,5.73,4.27,338,85,4.62,1.38,3.74,2.2442,5.9842,F2-2,2017
F2-3,RN-F2-3-17,10/30/17,17-Nov,no,yes,yes,no,medium-high,yes,24.4,,2.143,43.76540972,51.052,1.166491993,22.81040972,6.438,14.517,36.681,14.371,,45,979,1756,4259,8.1,20.81,21,6.45,4.26,331,70,4.31,1.06,3.5417,1.5804,5.1221,F2-3,2017
F2-4,RN-F2-4-17,10/30/17,17-Nov,no,yes,yes,no,medium-high,yes,24.4,,3.589,51.46567722,73.343,1.425085687,27.23767722,7.667,16.561,51.314,22.029,,67,1170,1815,4800,8.3,22.66,29,6.76,6.47,348,79,4.32,0.92,3.8489,1.822,5.6709,F2-4,2017
F2-5,RN-F2-5-17,10/30/17,17-Nov,no,no,yes,no,none-low,yes,24.4,,1.1,35.14363072,36.46,1.037456838,18.12463072,5.085,11.934,29.05,7.41,,80,956,1542,3574,7.9,18.18,21,4.58,5.22,330,86,4.27,1.13,4.6633,1.8029,6.4662,F2-5,2017
F2-6,RN-F2-6-17,10/30/17,17-Nov,no,no,yes,no,none-low,yes,24.4,,1.68,33.20697748,47.272,1.42355624,18.50797748,4.51,10.189,36.047,11.225,,71,957,1495,3616,7.9,18.09,17,4.04,3.98,313,95,4.32,1.1,7.4027,6.0837,13.4864,F2-6,2017
Cont1,TG-Cont1-17,10/30/17,17-Nov,yes,no,no,yes,medium-high,no,16.3,,1.419,50.49061474,54.751,1.084379746,26.88261474,8.127,15.481,49.315,5.436,,33,892,1704,5823,8.2,24,20,5.8,3.31,143,74,3.29,0.74,4.3368,1.8059,6.1427,Cont1,2017
Cont2,TG-Cont2-17,10/30/17,17-Nov,yes,no,no,yes,medium-high,no,16.3,,1.746,35.45100859,52.543,1.482129905,18.37300859,6.078,11,45.433,7.11,,32,768,1467,3194,8,16.68,17,5.4,2.5,125,71,2.82,0.51,2.7541,1.4765,4.2306,Cont2,2017
Cont3,TG-Cont3-17,10/30/17,17-Nov,yes,yes,yes,yes,none-low,no,16.3,,1.825,45.95089064,62.704,1.364587261,25.01089064,7.642,13.298,54.075,8.629,,60,797,1305,2628,7.8,14.22,14,4.48,4.01,146,75,2.63,0.48,3.7725,1.9417,5.7142,Cont3,2017
Cont4,TG-Cont4-17,10/30/17,17-Nov,yes,yes,yes,yes,none-low,no,16.3,,2.61,58.45068444,88.186,1.508724848,31.70868444,9.525,17.217,72.217,15.969,,73,857,1301,2707,7.8,14.88,17,4.11,5.11,147,70,2.59,0.66,2.6795,2.0418,4.7213,Cont4,2017
TG 25,TG-1-18,6/4/18,18-Jun,no,yes,yes,yes,medium-high,no,26.9,16.52989449,1.703,27.541,22.691,0.824,13.894,4.023,9.624,19.703,2.988,96.61040518,94,869,1885,4368,8,22.28,43,5.59,3.59,346,72,4.39,0.95,16.34,1.31,17.65,1,2018
TG 26,TG-1-18,6/4/18,18-Jun,no,yes,yes,yes,medium-high,no,26.9,14.71238938,0.727,29.029,28.909,0.996,14.989,3.671,10.369,26.007,2.902,113.3271019,182,929,1701,3891,8.2,19.6,45,5.83,4.95,339,75,4.13,0.92,13.06,1.43,14.49,1,2018
TG 27,TG-1-18,6/4/18,18-Jun,no,yes,yes,yes,medium-high,no,26.9,14.65909091,1.664,38.816,41.094,1.059,20.63,5.109,13.077,35.766,5.328,154.2020914,105,1008,1755,3972,8.2,20.13,39,4.65,4.94,329,75,4.34,0.85,7.51,1.37,8.88,1,2018
TG 28,TG-1-18,6/4/18,18-Jun,no,yes,yes,yes,medium-high,no,26.9,17.79835391,1.51,39.388,43.019,1.092,21.626,5.026,12.736,39.002,4.017,171.0253161,174,968,1913,4470,8.1,22.38,37,4.89,5.98,332,74,4.59,1.04,5.18,1.32,6.5,1,2018
TG 29,TG-2-18,6/4/18,18-Jun,yes,yes,yes,yes,none-low,no,27.2,21.30384168,3.197,30.508,36.104,1.183,16.08,4.328,10.1,32.563,3.541,127.0228744,74,1330,1719,4278,8,21.56,44,6.38,5.22,345,76,4.45,1.18,54.25,1.4,55.65,2,2018
TG 30,TG-2-18,6/4/18,18-Jun,yes,yes,yes,yes,none-low,no,27.2,20,1.949,40.262,52.765,1.311,20.586,6.081,13.595,48.348,4.417,168.0984999,133,1395,1798,4410,8.2,21.9,51,6.39,6.39,364,84,4.69,1.01,53.04,1.24,54.28,2,2018
TG 31,TG-2-18,6/4/18,18-Jun,yes,yes,yes,yes,none-low,no,27.2,22.22222222,1.809,61.339,82.354,1.343,33.765,8.502,19.072,75.31,7.044,263.0257044,221,1544,2084,4607,8,24.18,52,6.16,9.12,424,82,5.19,1.21,63.78,1.08,64.86,2,2018
TG 32,TG-2-18,6/4/18,18-Jun,yes,yes,yes,yes,none-low,no,27.2,18.74310915,2.895,43.396,52.142,1.202,22.391,6.171,14.834,47.432,4.71,184.3346396,128,1253,1658,4134,8.2,20.04,42,5.89,6.14,366,78,4.36,1,48.07,1.6,49.67,2,2018
TG 33,TG-3-18,6/4/18,18-Jun,no,yes,yes,yes,medium-high,yes,30.7,26.4957265,3.163,50.795,53.67,1.057,26.836,7.8,16.159,45.664,8.006,198.0802889,95,1575,2113,5103,8.3,25.58,41,7.74,7.38,343,80,4.89,1.2,24.56,1.67,26.23,3,2018
