field,year,crop_rotated,crop_type
CK-1-18,2018,corn,corn
CK-2-18,2018,corn,corn
CK-3-18,2018,corn,corn
CK-4-19,2019,corn,corn
CK-5-19,2019,corn,corn
CK-6-19,2019,corn,corn
BS-1-18,2018,None,None
BS-2-18,2018,sorghum,sorghum
BS-3-19,2019,sorghum,sorghum
BS-4-19,2019,sorghum,sorghum
EE-1-18,2018,wheat,cereals
EE-2-18,2018,wheat,cereals
EE-3-19,2019,wheat,cereals
EE-4-19,2019,wheat,cereals
BE-1-18,2018,sorghum,sorghum
BE-2-18,2018,sorghum,sorghum
BE-3-19,2019,sorghum,sorghum
BE-4-19,2019,sorghum,sorghum
MH-1-18,2018,None,None
MH-2-18,2018,None,None
MH-3-18,2018,None,None
MH-1-19,2019,None,None
MH-2-19,2019,None,None
MH-3-19,2019,None,None
MH-4-19,2019,None,None
JS-1-19,2019,vetch,legumes
JS-2-19,2019,turnip,turnip
JS-3-19,2019,rye,cereals
GM-1-19,2019,wheat,cereals
GM-2-19,2019,None,None
GM-3-19,2019,None,None
GM-4-19,2019,None,None
BH-1-21,2021,None,None
BH-2-21,2021,corn,corn
BH-3-21,2021,sorghum,sorghum
BH-4-21,2021,None,None
RN-1-21,2021,wheat,cereals
RN-2-21,2021,corn,corn
RN-3-21,2021,corn,corn
TG-1-21,2021,corn,corn
TG-2-21,2021,wheat,cereals
TG-3-21,2021,corn,corn
BE-1-21,2021,sorghum,sorghum
BE-2-21,2021,sorghum,sorghum
BS-1-21,2021,sorghum,sorghum
BS-2-21,2021,sorghum,sorghum
JB-1-21,2021,multispecies,multispecies
JB-2-21,2021,None,None
JB-3-21,2021,None,None
CP-1-21,2021,None,None
CP-2-21,2021,None,None
CP-3-21,2021,None,None
KS-1-21,2021,None,None
KS-2-21,2021,None,None
KS-3-21,2021,None,None
BT-1-21,2021,None,None
BT-2-21,2021,multispecies,multispecies
BT-3-21,2021,multispecies,multispecies
JS-1-21,2021,None,None
JS-2-21,2021,None,None
JS-3-21,2021,None,None
JH-1-21,2021,None,None
JA-1-21,2021,sunflower,sunflower
JA-2-21,2021,None,None
JA-3-21,2021,None,None
WS-1-21,2021,None,None
WS-2-21,2021,None,None
WS-3-21,2021,None,None
JK-1-21,2021,None,None
JK-2-21,2021,None,None
JK-3-21,2021,None,None
JK-4-21,2021,None,None
JK-5-21,2021,None,None
JK-6-21,2021,None,None
KV-1-21,2021,None,None
KV-2-21,2021,rye-sorghum,cereals-sorghum
KV-3-21,2021,rye-radish,cereals-radish
BH-1-22,2022,None,None
BH-2-22,2022,corn,corn
BH-3-22,2022,sorghum,sorghum
BH-4-22,2022,None,None
RN-1-22,2022,corn-wheat,corn-cereals
RN-2-22,2022,corn-wheat,corn-cereals
RN-3-22,2022,wheat,cereals
TG-1-22,2022,corn,corn
TG-2-22,2022,wheat,cereals
TG-3-22,2022,corn,corn
BE-1-22,2022,sorghum,sorghum
BE-2-22,2022,sorghum,sorghum
BS-1-22,2022,sorghum,sorghum
BS-2-22,2022,sorghum,sorghum
JB-1-22,2022,multispecies,multispecies
JB-2-22,2022,None,None
JB-3-22,2022,None,None
CP-1-22,2022,None,None
CP-2-22,2022,None,None
CP-3-22,2022,None,None
KS-1-22,2022,None,None
KS-2-22,2022,None,None
KS-3-22,2022,None,None
BT-1-22,2022,None,None
BT-2-22,2022,multispecies,multispecies
BT-3-22,2022,multispecies,multispecies
JS-1-22,2022,None,None
JS-2-22,2022,None,None
JS-3-22,2022,None,None
JH-1-22,2022,None,None
JA-1-22,2022,None,None
WS-1-22,2022,None,None
WS-2-22,2022,None,None
WS-3-22,2022,None,None
JK-1-22,2022,None,None
JK-2-22,2022,None,None
JK-3-22,2022,None,None
JK-4-22,2022,None,None
JK-5-22,2022,None,None
JK-6-22,2022,None,None
JK-7-22,2022,None,None
JK-8-22,2022,None,None
JK-9-22,2022,None,None
JK-10-22,2022,None,None
JK-11-22,2022,None,None
KV-1-22,2022,None,None
KV-2-22,2022,rye-sorghum,cereals-sorghum
KV-3-22,2022,rye-radish,cereals-radish
