sample,field,date,sampling.period,mbc,doc,tillage,irrigation,fertilizer,crop_rotation,residue,cover_crop,clay,gwc,original.field,year
Cont1,TG-Cont1-17,8/25/17,17-Aug,447.1642,1285.0544,yes,no,no,yes,medium-high,no,16.3,,Cont1,2017
Cont2,TG-Cont2-17,8/25/17,17-Aug,916.0354,1421.8085,yes,no,no,yes,medium-high,no,16.3,,Cont2,2017
Cont3,TG-Cont3-17,8/25/17,17-Aug,527.4801,1358.8582,yes,yes,yes,yes,none-low,no,16.3,,Cont3,2017
Cont4,TG-Cont4-17,8/25/17,17-Aug,883.4749,1259.006,yes,yes,yes,yes,none-low,no,16.3,,Cont4,2017
F2-1,RN-F2-1-17,10/3/17,17-Oct,1562.904,1860.2899,no,yes,yes,no,medium-high,yes,24.4,,F2-1,2017
F2-2,RN-F2-2-17,10/3/17,17-Oct,193.1923,1706.1702,no,yes,yes,no,medium-high,yes,24.4,,F2-2,2017
F2-3,RN-F2-3-17,10/3/17,17-Oct,588.2597,1853.7778,no,yes,yes,no,medium-high,yes,24.4,,F2-3,2017
F2-4,RN-F2-4-17,10/3/17,17-Oct,625.1616,1476.076,no,yes,yes,no,medium-high,yes,24.4,,F2-4,2017
F2-5,RN-F2-5-17,10/3/17,17-Oct,677.2584,1426.1499,no,no,yes,no,none-low,yes,24.4,,F2-5,2017
F2-6,RN-F2-6-17,10/3/17,17-Oct,199.7044,1354.5168,no,no,yes,no,none-low,yes,24.4,,F2-6,2017
Cont1,TG-Cont1-17,10/3/17,17-Oct,477.554,1738.7307,yes,no,no,yes,medium-high,no,16.3,,Cont1,2017
Cont2,TG-Cont2-17,10/3/17,17-Oct,342.9706,1842.9243,yes,no,no,yes,medium-high,no,16.3,,Cont2,2017
Cont3,TG-Cont3-17,10/3/17,17-Oct,664.2342,1558.5626,yes,yes,yes,yes,none-low,no,16.3,,Cont3,2017
Cont4,TG-Cont4-17,10/3/17,17-Oct,538.3336,1506.4658,yes,yes,yes,yes,none-low,no,16.3,,Cont4,2017
F2-1,RN-F2-1-17,10/30/17,17-Nov,360.3362,1289.3958,no,yes,yes,no,medium-high,yes,24.4,,F2-1,2017
F2-2,RN-F2-2-17,10/30/17,17-Nov,143.2662,1187.3729,no,yes,yes,no,medium-high,yes,24.4,,F2-2,2017
F2-3,RN-F2-3-17,10/30/17,17-Nov,97.6815,1410.955,no,yes,yes,no,medium-high,yes,24.4,,F2-3,2017
F2-4,RN-F2-4-17,10/30/17,17-Nov,638.1858,1276.3716,no,yes,yes,no,medium-high,yes,24.4,,F2-4,2017
F2-5,RN-F2-5-17,10/30/17,17-Nov,173.656,1269.8595,no,no,yes,no,none-low,yes,24.4,,F2-5,2017
F2-6,RN-F2-6-17,10/30/17,17-Nov,371.1897,1122.2519,no,no,yes,no,none-low,yes,24.4,,F2-6,2017
Cont1,TG-Cont1-17,10/30/17,17-Nov,264.8254,1877.6555,yes,no,no,yes,medium-high,no,16.3,,Cont1,2017
Cont2,TG-Cont2-17,10/30/17,17-Nov,191.0216,1860.2899,yes,no,no,yes,medium-high,no,16.3,,Cont2,2017
Cont3,TG-Cont3-17,10/30/17,17-Nov,392.8967,1512.9779,yes,yes,yes,yes,none-low,no,16.3,,Cont3,2017
Cont4,TG-Cont4-17,10/30/17,17-Nov,475.3833,1515.1486,yes,yes,yes,yes,none-low,no,16.3,,Cont4,2017
F2-1,RN-F2-1-17,12/22/17,17-Dec,466.7005,1673.6097,no,yes,yes,no,medium-high,yes,24.4,,F2-1,2017
F2-2,RN-F2-2-17,12/22/17,17-Dec,822.6953,1428.3206,no,yes,yes,no,medium-high,yes,24.4,,F2-2,2017
F2-3,RN-F2-3-17,12/22/17,17-Dec,722.8431,1050.6188,no,yes,yes,no,medium-high,yes,24.4,,F2-3,2017
F2-4,RN-F2-4-17,12/22/17,17-Dec,523.1387,1795.1689,no,yes,yes,no,medium-high,yes,24.4,,F2-4,2017
F2-5,RN-F2-5-17,12/22/17,17-Dec,199.7044,1148.3003,no,no,yes,no,none-low,yes,24.4,,F2-5,2017
F2-6,RN-F2-6-17,12/22/17,17-Dec,421.1158,976.815,no,no,yes,no,none-low,yes,24.4,,F2-6,2017
Cont1,TG-Cont1-17,12/22/17,17-Dec,790.1348,1795.1689,yes,no,no,yes,medium-high,no,16.3,,Cont1,2017
Cont2,TG-Cont2-17,12/22/17,17-Dec,429.7986,1612.8301,yes,no,no,yes,medium-high,no,16.3,,Cont2,2017
Cont3,TG-Cont3-17,12/22/17,17-Dec,733.6966,1478.2467,yes,yes,yes,yes,none-low,no,16.3,,Cont3,2017
Cont4,TG-Cont4-17,12/22/17,17-Dec,327.7757,1647.5613,yes,yes,yes,yes,none-low,no,16.3,,Cont4,2017
TG 25,TG-1-18,6/4/18,18-Jun,19.96045977,944.2545,no,yes,yes,yes,medium-high,no,26.9,16.52989449,1,2018
TG 26,TG-1-18,6/4/18,18-Jun,361.7833333,994.1806,no,yes,yes,yes,medium-high,no,26.9,14.71238938,1,2018
TG 27,TG-1-18,6/4/18,18-Jun,308.2394,970.3029,no,yes,yes,yes,medium-high,no,26.9,14.65909091,1,2018
TG 28,TG-1-18,6/4/18,18-Jun,86.828,1261.1767,no,yes,yes,yes,medium-high,no,26.9,17.79835391,1,2018
TG 29,TG-2-18,6/4/18,18-Jun,533.9422989,1421.8085,yes,yes,yes,yes,none-low,no,27.2,21.30384168,2,2018
TG 30,TG-2-18,6/4/18,18-Jun,190.6695946,1447.8569,yes,yes,yes,yes,none-low,no,27.2,20,2,2018
TG 31,TG-2-18,6/4/18,18-Jun,306.0687,1515.1486,yes,yes,yes,yes,none-low,no,27.2,22.22222222,2,2018
TG 32,TG-2-18,6/4/18,18-Jun,282.191,1771.2912,yes,yes,yes,yes,none-low,no,27.2,18.74310915,2,2018
TG 33,TG-3-18,6/4/18,18-Jun,169.663908,1923.2402,no,yes,yes,yes,medium-high,yes,30.7,26.4957265,3,2018
TG 34,TG-3-18,6/4/18,18-Jun,190.6695946,1745.2428,no,yes,yes,yes,medium-high,yes,30.7,23.46437346,3,2018
TG 35,TG-3-18,6/4/18,18-Jun,323.4343,1421.8085,no,yes,yes,yes,medium-high,yes,30.7,31.3559322,3,2018
TG 36,TG-3-18,6/4/18,18-Jun,80.3159,1374.0531,no,yes,yes,yes,medium-high,yes,30.7,26.51162791,3,2018
RN 49,RN-1-18,6/4/18,18-Jun,306.892069,1584.611,no,yes,yes,yes,medium-high,yes,24.8,20.5510907,1,2018
RN 50,RN-1-18,6/4/18,18-Jun,320.2271396,1104.8863,no,yes,yes,yes,medium-high,yes,24.8,20.37861915,1,2018
RN 51,RN-1-18,6/4/18,18-Jun,375.5311,1165.6659,no,yes,yes,yes,medium-high,yes,24.8,21.0989011,1,2018
RN 52,RN-1-18,6/4/18,18-Jun,436.3107,1410.955,no,yes,yes,yes,medium-high,yes,24.8,20.37470726,1,2018
RN 53,RN-2-18,6/4/18,18-Jun,107.2874713,892.1577,minimal,yes,yes,no,none-low,yes,27.2,11.70323929,2,2018
RN 54,RN-2-18,6/4/18,18-Jun,70.88997748,844.4023,minimal,yes,yes,no,none-low,yes,27.2,13.18681319,2,2018
RN 55,RN-2-18,6/4/18,18-Jun,112.8764,929.0596,minimal,yes,yes,no,none-low,yes,27.2,8.790170132,2,2018
RN 56,RN-2-18,6/4/18,18-Jun,36.9019,805.3297,minimal,yes,yes,no,none-low,yes,27.2,10.63829787,2,2018
RN 57,RN-3-18,6/4/18,18-Jun,511.4867816,1486.9295,no,yes,yes,yes,medium-high,yes,30.8,25.33333333,3,2018
RN 58,RN-3-18,6/4/18,18-Jun,410.672973,740.2087,no,yes,yes,yes,medium-high,yes,30.8,21.77985948,3,2018
RN 59,RN-3-18,6/4/18,18-Jun,284.3617,1510.8072,no,yes,yes,yes,medium-high,yes,30.8,24.5017585,3,2018
RN 60,RN-3-18,6/4/18,18-Jun,199.7044,1365.3703,no,yes,yes,yes,medium-high,yes,30.8,21.8404908,3,2018
JB 1,JB-1-18,6/5/18,18-Jun,323.4343,1052.7895,no,yes,yes,yes,medium-high,no,11,4.304304304,1,2018
JB 2,JB-1-18,6/5/18,18-Jun,225.7528,1067.9844,no,yes,yes,yes,medium-high,no,11,13.03890641,1,2018
JB 3,JB-1-18,6/5/18,18-Jun,154.1197,800.9883,no,yes,yes,yes,medium-high,no,11,11.34969325,1,2018
JB 4,JB-1-18,6/5/18,18-Jun,323.4343,1139.6175,no,yes,yes,yes,medium-high,no,11,13.6315229,1,2018
JB 5,JB-2-18,6/5/18,18-Jun,592.6011,230.0942,no,no,no,no,none-low,yes,9,5.631067961,2,2018
JB 6,JB-2-18,6/5/18,18-Jun,182.3388,336.4585,no,no,no,no,none-low,yes,9,7.505285412,2,2018
JB 7,JB-2-18,6/5/18,18-Jun,583.9183,505.7731,no,no,no,no,none-low,yes,9,5.656934307,2,2018
JB 8,JB-2-18,6/5/18,18-Jun,490.5782,173.656,no,no,no,no,none-low,yes,9,6.742640076,2,2018
JB 9,JB-3-18,6/5/18,18-Jun,104.1936,924.7182,minimal,yes,yes,yes,medium-high,no,10.6,8.911917098,3,2018
JB 10,JB-3-18,6/5/18,18-Jun,1248.1525,1491.2709,minimal,yes,yes,yes,medium-high,no,10.6,8.99315738,3,2018
JB 11,JB-3-18,6/5/18,18-Jun,160.6318,1011.5462,minimal,yes,yes,yes,medium-high,no,10.6,8.536585366,3,2018
JB 12,JB-3-18,6/5/18,18-Jun,123.7299,1031.0825,minimal,yes,yes,yes,medium-high,no,10.6,7.874865156,3,2018
MH 61,MH-1-18,6/5/18,18-Jun,460.1884,714.1603,minimal,no,yes,no,none-low,yes,21.2,10.3965702,1,2018
MH 62,MH-1-18,6/5/18,18-Jun,160.6318,872.6214,minimal,no,yes,no,none-low,yes,21.2,5.646036916,1,2018
MH 63,MH-1-18,6/5/18,18-Jun,382.0432,358.1655,minimal,no,yes,no,none-low,yes,21.2,7.1875,1,2018
MH 64,MH-1-18,6/5/18,18-Jun,319.0929,451.5056,minimal,no,yes,no,none-low,yes,21.2,7.995735608,1,2018
MH 65,MH-2-18,6/5/18,18-Jun,575.2355,718.5017,minimal,no,yes,no,none-low,yes,13,7.385811467,2,2018
MH 66,MH-2-18,6/5/18,18-Jun,112.8764,651.21,minimal,no,yes,no,none-low,yes,13,7.371794872,2,2018
MH 67,MH-2-18,6/5/18,18-Jun,375.5311,959.4494,minimal,no,yes,no,none-low,yes,13,7.966260544,2,2018
MH 68,MH-2-18,6/5/18,18-Jun,514.4559,492.7489,minimal,no,yes,no,none-low,yes,13,6.873184898,2,2018
MH 69,MH-3-18,6/5/18,18-Jun,349.4827,440.6521,minimal,no,yes,no,none-low,yes,10.8,10.52060738,3,2018
MH 70,MH-3-18,6/5/18,18-Jun,54.2675,872.6214,minimal,no,yes,no,none-low,yes,10.8,8.99122807,3,2018
MH 71,MH-3-18,6/5/18,18-Jun,410.2623,284.3617,minimal,no,yes,no,none-low,yes,10.8,6.092843327,3,2018
MH 72,MH-3-18,6/5/18,18-Jun,306.0687,644.6979,minimal,no,yes,no,none-low,yes,10.8,4.166666667,3,2018
CK 85,CK-1-18,6/6/18,18-Jun,553.5285,2285.7471,no,yes,no,yes,medium-high,no,36.8,17.84037559,1,2018
CK 86,CK-1-18,6/6/18,18-Jun,570.8941,755.4036,no,yes,no,yes,medium-high,no,36.8,1.689860835,1,2018
CK 87,CK-1-18,6/6/18,18-Jun,831.3781,1469.5639,no,yes,no,yes,medium-high,no,36.8,23.92776524,1,2018
CK 88,CK-1-18,6/6/18,18-Jun,449.3349,1083.1793,no,yes,no,yes,medium-high,no,36.8,22.56902761,1,2018
CK 89,CK-2-18,6/6/18,18-Jun,336.4585,1115.7398,no,yes,no,yes,medium-high,no,38,9.956709957,2,2018
CK 90,CK-2-18,6/6/18,18-Jun,388.5553,2322.649,no,yes,no,yes,medium-high,no,38,25.80645161,2,2018
CK 91,CK-2-18,6/6/18,18-Jun,310.4101,1766.9498,no,yes,no,yes,medium-high,no,38,22.31707317,2,2018
CK 92,CK-2-18,6/6/18,18-Jun,184.5095,1326.2977,no,yes,no,yes,medium-high,no,38,23.85620915,2,2018
CK 93,CK-3-18,6/6/18,18-Jun,191.0216,861.7679,no,yes,no,yes,medium-high,no,33.6,14.01590457,3,2018
CK 94,CK-3-18,6/6/18,18-Jun,397.2381,453.6763,no,yes,no,yes,medium-high,no,33.6,16.35514019,3,2018
CK 95,CK-3-18,6/6/18,18-Jun,360.3362,694.624,no,yes,no,yes,medium-high,no,33.6,10.17897092,3,2018
CK 96,CK-3-18,6/6/18,18-Jun,314.7515,664.2342,no,yes,no,yes,medium-high,no,33.6,24.69586375,3,2018
KK 73,KK-1-18,6/7/18,18-Jun,883.4749,1133.1054,no,yes,no,yes,medium-high,yes,14.4,14.25339367,1,2018
KK 74,KK-1-18,6/7/18,18-Jun,562.2113,1059.3016,no,yes,no,yes,medium-high,yes,14.4,15.44532131,1,2018
KK 75,KK-1-18,6/7/18,18-Jun,1033.2532,1575.9282,no,yes,no,yes,medium-high,yes,14.4,23.375,1,2018
KK 76,KK-1-18,6/7/18,18-Jun,258.3133,1170.0073,no,yes,no,yes,medium-high,yes,14.4,12.65822785,1,2018
KK 77,KK-2-18,6/7/18,18-Jun,115.0471,848.7437,no,yes,yes,no,none-low,no,12.8,8.994197292,2,2018
KK 78,KK-2-18,6/7/18,18-Jun,275.6789,1085.35,no,yes,yes,no,none-low,no,12.8,10.69574247,2,2018
KK 79,KK-2-18,6/7/18,18-Jun,162.8025,996.3513,no,yes,yes,no,none-low,no,12.8,,2,2018
KK 80,KK-2-18,6/7/18,18-Jun,386.3846,1306.7614,no,yes,yes,no,none-low,no,12.8,7.008368201,2,2018
KK 81,KK-3-18,6/7/18,18-Jun,219.2407,1610.6594,no,yes,no,yes,medium-high,yes,15.2,10.21276596,3,2018
KK 82,KK-3-18,6/7/18,18-Jun,164.9732,2036.1166,no,yes,no,yes,medium-high,yes,15.2,13.14102564,3,2018
KK 83,KK-3-18,6/7/18,18-Jun,518.7973,1536.8556,no,yes,no,yes,medium-high,yes,15.2,11.2849162,3,2018
KK 84,KK-3-18,6/7/18,18-Jun,80.3159,2086.0427,no,yes,no,yes,medium-high,yes,15.2,10.88082902,3,2018
JA 109,JA-1-18,6/8/18,18-Jun,948.5959,1130.9347,no,no,no,yes,medium-high,no,8.4,5.377358491,1,2018
JA 110,JA-1-18,6/8/18,18-Jun,73.8038,1048.4481,no,no,no,yes,medium-high,no,8.4,2.808988764,1,2018
JA 111,JA-1-18,6/8/18,18-Jun,1714.853,1000.6927,no,no,no,yes,medium-high,no,8.4,3.609756098,1,2018
JA 112,JA-1-18,6/8/18,18-Jun,440.6521,983.3271,no,no,no,yes,medium-high,no,8.4,2.621359223,1,2018
JA 113,JA-2-18,6/8/18,18-Jun,49.9261,533.9922,yes,yes,yes,no,none-low,no,10.4,7.979274611,2,2018
JA 114,JA-2-18,6/8/18,18-Jun,1206.9092,920.3768,yes,yes,yes,no,none-low,no,10.4,8.956796628,2,2018
JA 115,JA-2-18,6/8/18,18-Jun,336.4585,794.4762,yes,yes,yes,no,none-low,no,10.4,8.43495935,2,2018
JA 116,JA-2-18,6/8/18,18-Jun,110.7057,533.9922,yes,yes,yes,no,none-low,no,10.4,5.323193916,2,2018
JA 117,JA-3-18,6/8/18,18-Jun,293.0445,688.1119,yes,no,yes,no,none-low,no,9.9,5.738476011,3,2018
JA 118,JA-3-18,6/8/18,18-Jun,151.949,618.6495,yes,no,yes,no,none-low,no,9.9,2.741116751,3,2018
JA 119,JA-3-18,6/8/18,18-Jun,360.3362,414.6037,yes,no,yes,no,none-low,no,9.9,18.54379977,3,2018
JA 120,JA-3-18,6/8/18,18-Jun,284.3617,505.7731,yes,no,yes,no,none-low,no,9.9,5.416248746,3,2018
KS 121,KS-1-18,6/11/18,18-Jun,588.2597,929.0596,yes,yes,yes,no,none-low,no,24.4,10.2189781,1,2018
KS 122,KS-1-18,6/11/18,18-Jun,520.968,672.917,yes,yes,yes,no,none-low,no,24.4,8.262711864,1,2018
