sample,field,date,sampling.period,mbc,tillage,irrigation,fertilizer,crop_rotation,residue,cover_crop,clay,gwc,P,K,Mg,Ca,pH,CEC,S,B,Zn,Mn,Fe,Cu,OM,no3.ppm,nh4.ppm,total.N,original.field,year
JB2,JB-JB1-17,8/30/17,17-Sep,538.3336,no,yes,yes,yes,medium-high,no,13.12,11.84486373,88,615,1366,8682,8.4,28.98,51,3.6,4.31,61,39,1.55,0.58,3.52,0.74,4.26,JB1,2017
JB3,JB-JB1-17,9/5/17,17-Sep,342.9706,no,yes,yes,yes,medium-high,no,13.12,7.354555434,90,708,1334,3154,8.3,15.55,31,3.13,4.26,79,60,1.81,0.48,2.28,1.1,3.38,JB1,2017
JB4,JB-JB1-17,9/5/17,17-Sep,240.9477,no,yes,yes,yes,medium-high,no,13.12,7.204301075,141,551,1218,3935,8.2,16.41,56,3.5,5.62,82,58,1.84,0.54,1.69,0.49,2.18,JB1,2017
JB5,JB-JB2-17,8/30/17,17-Sep,2.1707,minimal,yes,yes,yes,medium-high,no,11.64,5.109489051,13,449,327,2455,6.3,9.67,13,0.83,0.49,106,60,1.72,0.22,0.48,1.29,1.77,JB2,2017
JB6,JB-JB2-17,8/30/17,17-Sep,67.2917,minimal,yes,yes,yes,medium-high,no,11.64,4.776739356,36,535,311,9764,8.3,27.19,14,1.39,1.15,80,31,1.88,0.27,0.88,0.38,1.26,JB2,2017
JB7,JB-JB2-17,9/5/17,17-Sep,275.6789,minimal,yes,yes,yes,medium-high,no,11.64,2.597402597,42,479,302,10350,8.4,28.94,12,1.47,1.13,79,32,1.75,0.31,1.12,0.61,1.73,JB2,2017
JB8,JB-JB2-17,9/5/17,17-Sep,128.0713,minimal,yes,yes,yes,medium-high,no,11.64,2.123552124,42,548,345,10420,8.4,28.99,15,1.49,1.21,81,37,1.81,0.35,1.33,0.94,2.27,JB2,2017
JB9,JB-JB3-17,8/30/17,17-Sep,266.9961,no,yes,no,no,none-low,yes,13.76,3.696098563,109,634,1599,2442,8.1,14.38,14,2.98,7.86,106,62,1.75,0.59,1.53,0.81,2.34,JB3,2017
JB10,JB-JB3-17,8/30/17,17-Sep,418.9451,no,yes,no,no,none-low,yes,13.76,6.044538706,168,686,1618,2525,8.4,15.13,31,3.38,5.07,103,65,1.91,0.37,3.4,2.16,5.56,JB3,2017
JB11,JB-JB3-17,9/5/17,17-Sep,160.6318,no,yes,no,no,none-low,yes,13.76,2.147239264,95,691,1613,2271,8.1,14.48,14,2.8,6.68,104,67,1.68,0.49,1.5,1.48,2.98,JB3,2017
JB12,JB-JB3-17,9/5/17,17-Sep,75.9745,no,yes,no,no,none-low,yes,13.76,3.653444676,149,919,1325,2194,7.9,12.98,21,2.81,4.61,100,67,1.67,0.56,1.62,1.92,3.54,JB3,2017
MH1,MH-MH1-17,9/5/17,17-Sep,169.3146,no,no,yes,no,none-low,yes,17.48,3.333333333,187,1235,464,3853,7.5,14.74,16,1.44,2.53,195,100,2.58,0.77,4.31,1.29,5.6,MH1,2017
MH2,MH-MH1-17,9/5/17,17-Sep,260.484,no,no,yes,no,none-low,yes,17.48,3.876739563,172,1315,464,3850,7.3,15.24,16,1.63,2.38,215,98,2.76,0.73,1.6,0.66,2.26,MH1,2017
MH3,MH-MH1-17,9/5/17,17-Sep,177.9974,no,no,yes,no,none-low,yes,17.48,4.562383613,163,1338,500,4230,7.3,16.37,19,1.85,2.46,246,102,3.02,0.65,0.58,0.77,1.35,MH1,2017
MH4,MH-MH1-17,9/5/17,17-Sep,195.363,no,no,yes,no,none-low,yes,17.48,3.210576015,138,1081,414,3401,7.2,12.81,15,1.34,1.95,195,89,2.47,0.46,0.66,0.57,1.23,MH1,2017
BE1,BE-BE1-17,8/30/17,17-Sep,386.3846,no,yes,yes,yes,medium-high,no,33.1,19.58762887,73,1272,1763,5363,7.8,23.98,22,4.14,5.29,425,75,6.68,1.63,3.52,1.03,4.55,BE1,2017
BE2,BE-BE1-17,8/30/17,17-Sep,186.6802,no,yes,yes,yes,medium-high,no,33.1,18.64608076,66,1689,1676,5417,7.7,24.69,22,4.19,4.91,430,70,6.69,1.63,2.65,1.37,4.02,BE1,2017
BE3,BE-BE2-17,8/30/17,17-Sep,458.0177,no,yes,yes,yes,medium-high,no,33.1,16.76234214,73,1247,1574,5003,7.7,22.66,17,3.6,3.73,397,67,5.5,1.51,0.06,0.92,0.98,BE2,2017
BE4,BE-BE2-17,8/30/17,17-Sep,421.1158,no,yes,yes,yes,medium-high,no,33.1,16.33835458,95,1074,1662,5055,7.7,22.53,24,3.76,6.68,399,69,5.44,1.51,7.9,1.56,9.46,BE2,2017
JB1,JB-JB1-17,10/20/17,17-Oct,219.2407,no,yes,yes,yes,medium-high,no,13.12,5.514705882,197,905,1424,3629,8.2,16.96,35,3.77,8.63,81,53,1.83,0.49,4.8954,1.7844,6.6798,JB1,2017
JB2,JB-JB1-17,10/20/17,17-Oct,325.605,no,yes,yes,yes,medium-high,no,13.12,6.092307692,118,764,1312,3345,7.9,16,27,3.47,9.22,75,58,2.01,0.5,4.3483,1.6173,5.9656,JB1,2017
JB3,JB-JB1-17,10/20/17,17-Oct,247.4598,no,yes,yes,yes,medium-high,no,13.12,5.46302465,146,776,1684,4225,8.2,19.37,38,4.48,13.07,105,54,2.22,0.59,4.4357,1.7847,6.2204,JB1,2017
JB4,JB-JB1-17,10/20/17,17-Oct,245.2891,no,yes,yes,yes,medium-high,no,13.12,6.308610401,80,587,1560,2951,8.1,15.83,26,3.86,5.92,77,48,1.5,0.75,6.4439,1.8009,8.2448,JB1,2017
JB5,JB-JB2-17,10/20/17,17-Oct,0,minimal,yes,yes,yes,medium-high,no,11.64,5.863453815,22,449,347,14464,8.2,38.98,25,1.6,0.36,56,21,1.43,0.34,1.9588,1.4318,3.3906,JB2,2017
JB6,JB-JB2-17,10/20/17,17-Oct,52.0968,minimal,yes,yes,yes,medium-high,no,11.64,5.316824472,38,490,336,11915,8.1,32.61,17,1.51,0.69,76,28,1.36,0.16,1.7042,1.4455,3.1497,JB2,2017
JB7,JB-JB2-17,10/20/17,17-Oct,6.5121,minimal,yes,yes,yes,medium-high,no,11.64,4.87804878,26,556,320,9731,8.3,27.17,20,1.2,0.69,77,32,1.19,0.27,1.7525,1.3833,3.1358,JB2,2017
JB8,JB-JB2-17,10/20/17,17-Oct,154.1197,minimal,yes,yes,yes,medium-high,no,11.64,4.437643458,23,441,355,9757,8.2,27.23,17,1.36,0.71,82,36,1.26,0.2,1.4177,0.9807,2.3984,JB2,2017
JB9,JB-JB3-17,10/20/17,17-Oct,188.8509,no,yes,no,no,none-low,yes,13.76,5.407463823,172,957,1556,3003,7.9,16.41,20,3.31,5.66,125,55,1.93,0.62,3.0793,1.5383,4.6176,JB3,2017
JB10,JB-JB3-17,10/20/17,17-Oct,271.3375,no,yes,no,no,none-low,yes,13.76,7.956600362,84,711,1336,2164,8,13.08,19,3.67,3.9,108,53,1.76,0.55,4.6439,1.4774,6.1213,JB3,2017
JB11,JB-JB3-17,10/20/17,17-Oct,125.9006,no,yes,no,no,none-low,yes,13.76,8.252427184,122,871,1531,2684,8,15,23,3.86,5.33,124,53,1.45,0.27,5.4498,1.4637,6.9135,JB3,2017
JB12,JB-JB3-17,10/20/17,17-Oct,286.5324,no,yes,no,no,none-low,yes,13.76,7.65391015,107,805,1274,2459,8.1,13.68,16,3.16,3.32,114,58,1.43,0.49,4.2482,1.5132,5.7614,JB3,2017
MH1,MH-MH1-17,10/20/17,17-Oct,139.7232184,no,no,yes,no,none-low,yes,17.48,9.605488851,116,887,423,3915,7.2,14.28,17,1.39,1.32,206,90,2.32,0.47,1.4621,1.5287,2.9908,MH1,2017
MH2,MH-MH1-17,10/20/17,17-Oct,161.3358108,no,no,yes,no,none-low,yes,17.48,11.58100195,158,1157,480,4080,7.5,15.28,16,1.64,1.83,192,87,2.36,0.63,2.6996,1.5161,4.2157,MH1,2017
MH3,MH-MH1-17,10/20/17,17-Oct,288.7031,no,no,yes,no,none-low,yes,17.48,8.842975207,136,992,425,3841,7.3,14.24,17,1.33,1.45,198,88,2.33,0.59,1.4663,2.0215,3.4878,MH1,2017
MH4,MH-MH1-17,10/20/17,17-Oct,167.1439,no,no,yes,no,none-low,yes,17.48,8.983890954,154,1078,432,3653,7.2,13.91,16,1.17,1.66,182,79,2.06,0.55,1.4246,1.8591,3.2837,MH1,2017
BE1,BE-BE1-17,10/19/17,17-Oct,427.6279,no,yes,yes,yes,medium-high,no,33.1,19.54242135,74,1227,1625,5504,7.8,24.1,22,3.82,4.87,406,57,5.33,1.05,3.1332,2.0873,5.2205,BE1,2017
BE2,BE-BE1-17,10/19/17,17-Oct,275.6789,no,yes,yes,yes,medium-high,no,33.1,19.37567277,35,1285,1760,5687,7.7,25.19,24,4.65,3.94,406,54,5.6,1.24,4.4131,2.131,6.5441,BE1,2017
BE3,BE-BE2-17,10/19/17,17-Oct,247.4598,no,yes,yes,yes,medium-high,no,33.1,19.04024768,94,1200,1857,5700,7.5,25.12,26,3.9,6.42,421,54,5.15,1.47,4.2053,2.1965,6.4018,BE2,2017
BE4,BE-BE2-17,10/19/17,17-Oct,286.5324,no,yes,yes,yes,medium-high,no,33.1,20.25948104,28,1019,1726,5521,7.8,24.3,21,3.84,5.23,407,56,5.25,1.25,5.0852,2.8819,7.9671,BE2,2017
F2-1,RN-F2-1-17,5/25/17,17-May,151.949,no,yes,yes,no,medium-high,yes,24.4,,28,1143,1788,4489,8.5,21.33,26,6.39,2.4,339,80,4.4,1.16,6.67,1.24,7.91,F2-1,2017
F2-2,RN-F2-2-17,5/25/17,17-May,230.0942,no,yes,yes,no,medium-high,yes,24.4,,25,681,1858,5252,8.3,22.94,29,6.03,3.48,338,85,4.79,1.24,9.11,1.46,10.57,F2-2,2017
F2-3,RN-F2-3-17,5/25/17,17-May,323.4343,no,yes,yes,no,medium-high,yes,24.4,,39,943,1769,4335,8.3,20.61,21,6.73,2.74,350,84,4.59,1.12,6.3,1.57,7.87,F2-3,2017
F2-4,RN-F2-4-17,5/25/17,17-May,523.1387,no,yes,yes,no,medium-high,yes,24.4,,88,1289,1885,4766,8.5,22.62,44,6.56,8.16,355,86,4.03,1.42,8.31,1.73,10.04,F2-4,2017
F2-5,RN-F2-5-17,5/25/17,17-May,130.242,no,no,yes,no,none-low,yes,24.4,,150,1042,1600,4022,7.3,19.25,33,4.91,6.25,313,153,4.37,1.28,12.02,1.65,13.67,F2-5,2017
F2-6,RN-F2-6-17,5/25/17,17-May,345.1413,no,no,yes,no,none-low,yes,24.4,,69,1240,1602,3494,7.3,18.19,23,4.28,5.97,311,175,4.53,1.25,7.5,1.28,8.78,F2-6,2017
F2-1,RN-F2-1-17,6/30/17,17-Jun,388.5553,no,yes,yes,no,medium-high,yes,24.4,,91,1247,1629,4394,8.2,20.57,27,6.48,7.45,308,76,3.89,1.34,11.96,1.52,13.48,F2-1,2017
F2-2,RN-F2-2-17,6/30/17,17-Jun,310.4101,no,yes,yes,no,medium-high,yes,24.4,,55,1113,1748,4426,8.2,20.97,25,7.04,5.08,316,81,4.39,1.37,11.03,1.3,12.33,F2-2,2017
F2-3,RN-F2-3-17,6/30/17,17-Jun,327.7757,no,yes,yes,no,medium-high,yes,24.4,,56,1312,1564,3925,8.3,19.21,20,5.65,4.33,315,72,3.75,1.07,4.75,1.6,6.35,F2-3,2017
F2-4,RN-F2-4-17,6/30/17,17-Jun,67.2917,no,yes,yes,no,medium-high,yes,24.4,,59,1158,1649,4423,8.6,20.61,34,6.92,4.32,341,73,3.95,1.11,8.96,1.15,10.11,F2-4,2017
F2-5,RN-F2-5-17,6/30/17,17-Jun,329.9464,no,no,yes,no,none-low,yes,24.4,,114,1004,1443,3652,8.1,17.62,22,4.83,5.85,304,96,3.94,1.3,8.35,0.85,9.2,F2-5,2017
F2-6,RN-F2-6-17,6/30/17,17-Jun,403.7502,no,no,yes,no,none-low,yes,24.4,,109,1127,1673,3702,8.1,18.87,22,4.86,6.34,302,117,4.65,1.38,7.56,1.53,9.09,F2-6,2017
F2-1,RN-F2-1-17,7/27/17,17-Jul,386.3846,no,yes,yes,no,medium-high,yes,24.4,,149,1292,1716,4779,8.4,22.35,30,6.57,8.91,304,79,4.45,1.43,8.48,1.47,9.95,F2-1,2017
F2-2,RN-F2-2-17,7/27/17,17-Jul,1046.2774,no,yes,yes,no,medium-high,yes,24.4,,63,1469,1920,4693,8.4,23.21,31,6.66,6.48,340,86,5.1,1.54,9.92,1.43,11.35,F2-2,2017
F2-3,RN-F2-3-17,7/27/17,17-Jul,781.452,no,yes,yes,no,medium-high,yes,24.4,,70,1101,1724,4136,8.5,20.13,30,7.49,5.89,328,75,4.44,1.22,9.69,1.11,10.8,F2-3,2017
F2-4,RN-F2-4-17,7/27/17,17-Jul,664.2342,no,yes,yes,no,medium-high,yes,24.4,,93,1257,1882,5064,8.6,23.31,39,7,7.83,355,78,4.63,1.39,6.7,1.21,7.91,F2-4,2017
F2-5,RN-F2-5-17,7/27/17,17-Jul,438.4814,no,no,yes,no,none-low,yes,24.4,,159,1301,1687,4276,8.3,20.58,29,5.19,8.84,315,155,5.1,1.33,6.79,1.51,8.3,F2-5,2017
F2-6,RN-F2-6-17,7/27/17,17-Jul,603.4546,no,no,yes,no,none-low,yes,24.4,,57,1350,1653,3986,8.1,20.18,26,3.75,5.71,270,160,4.7,1.36,4.43,1.47,5.9,F2-6,2017
F2-1,RN-F2-1-17,8/25/17,17-Aug,1039.7653,no,yes,yes,no,medium-high,yes,24.4,,79,1135,1575,4277,8.3,19.91,23,5.57,8.31,301,73,4.09,1.36,3.51,2.44,5.95,F2-1,2017
F2-2,RN-F2-2-17,8/25/17,17-Aug,527.4801,no,yes,yes,no,medium-high,yes,24.4,,45,1104,1810,4310,8.2,21.33,28,6.19,6.05,319,85,4.7,1.49,3.9,2.01,5.91,F2-2,2017
F2-3,RN-F2-3-17,8/25/17,17-Aug,636.0151,no,yes,yes,no,medium-high,yes,24.4,,59,1080,1672,3842,8.3,19.15,17,6.17,4.89,332,70,4.15,1.12,3.39,2.92,6.31,F2-3,2017
F2-4,RN-F2-4-17,8/25/17,17-Aug,141.0955,no,yes,yes,no,medium-high,yes,24.4,,95,1364,1830,5175,8.4,23.51,27,7.24,7.87,367,79,4.5,1.2,2.3,1.94,4.24,F2-4,2017
F2-5,RN-F2-5-17,8/25/17,17-Aug,418.9451,no,no,yes,no,none-low,yes,24.4,,114,993,1636,3950,8.1,19.16,20,5.37,7.22,336,114,4.74,1.28,3.68,2.41,6.09,F2-5,2017
F2-6,RN-F2-6-17,8/25/17,17-Aug,427.6279,no,no,yes,no,none-low,yes,24.4,,58,1075,1694,3198,7.7,18.03,15,3.62,3.46,338,118,5.01,1.04,1.84,2.5,4.34,F2-6,2017
Cont1,TG-Cont1-17,8/25/17,17-Aug,447.1642,yes,no,no,yes,medium-high,no,16.3,,50,883,1761,5901,8.6,24.42,69,6.92,4.6,144,83,3.57,0.96,15.65,2.16,17.81,Cont1,2017
Cont2,TG-Cont2-17,8/25/17,17-Aug,916.0354,yes,no,no,yes,medium-high,no,16.3,,51,736,1328,2625,8.3,14.23,22,4.8,3.58,109,79,2.64,0.78,2.5,3,5.5,Cont2,2017
Cont3,TG-Cont3-17,8/25/17,17-Aug,527.4801,yes,yes,yes,yes,none-low,no,16.3,,139,931,1260,2783,8.2,14.6,17,4.1,6.93,138,78,2.42,0.79,2,2.14,4.14,Cont3,2017
Cont4,TG-Cont4-17,8/25/17,17-Aug,883.4749,yes,yes,yes,yes,none-low,no,16.3,,49,862,1331,2580,8.2,14.3,18,4.63,3.85,155,76,2.86,0.66,2.13,2.29,4.42,Cont4,2017
F2-1,RN-F2-1-17,10/3/17,17-Oct,1562.904,no,yes,yes,no,medium-high,yes,24.4,,109,1371,1835,5138,8.2,23.84,29,6.18,9.73,332,82,4.47,1.49,5.24,1.46,6.7,F2-1,2017
F2-2,RN-F2-2-17,10/3/17,17-Oct,193.1923,no,yes,yes,no,medium-high,yes,24.4,,72,1353,2024,4929,8.1,24.09,23,6.38,8.06,376,83,5.15,1.37,5.1,1.53,6.63,F2-2,2017
F2-3,RN-F2-3-17,10/3/17,17-Oct,588.2597,no,yes,yes,no,medium-high,yes,24.4,,109,1377,1972,5108,8.1,24.75,27,7.03,12.38,339,79,4.21,1.8,7.91,1.64,9.55,F2-3,2017
F2-4,RN-F2-4-17,10/3/17,17-Oct,625.1616,no,yes,yes,no,medium-high,yes,24.4,,112,1405,2030,5855,8.3,26.49,30,7.22,11.67,373,83,4.6,1.47,5.1,1.49,6.59,F2-4,2017
F2-5,RN-F2-5-17,10/3/17,17-Oct,677.2584,no,no,yes,no,none-low,yes,24.4,,177,1079,1686,4512,7.9,21.28,29,5.35,10.49,344,133,4.89,1.42,7.68,1.88,9.56,F2-5,2017
F2-6,RN-F2-6-17,10/3/17,17-Oct,199.7044,no,no,yes,no,none-low,yes,24.4,,113,1234,1815,3967,7.8,21.46,25,4.37,8.83,300,126,4.87,1.56,5.87,1.75,7.62,F2-6,2017
Cont1,TG-Cont1-17,10/3/17,17-Oct,477.554,yes,no,no,yes,medium-high,no,16.3,,58,1079,1877,5175,6.7,23.74,20,6.72,4.57,162,82,3.61,1.35,3.05,1.48,4.53,Cont1,2017
Cont2,TG-Cont2-17,10/3/17,17-Oct,342.9706,yes,no,no,yes,medium-high,no,16.3,,54,898,1587,3145,7.4,17.22,21,5.81,3.99,134,73,2.8,0.58,4,1.41,5.41,Cont2,2017
Cont3,TG-Cont3-17,10/3/17,17-Oct,664.2342,yes,yes,yes,yes,none-low,no,16.3,,124,956,1349,2889,7.7,15.66,18,4.17,6.35,153,68,2.35,1.1,4.33,1.26,5.59,Cont3,2017
Cont4,TG-Cont4-17,10/3/17,17-Oct,538.3336,yes,yes,yes,yes,none-low,no,16.3,,70,956,1449,2898,7.9,15.7,15,4.34,4.93,174,67,2.76,1.27,3.57,1.43,5,Cont4,2017
F2-1,RN-F2-1-17,10/30/17,17-Nov,360.3362,no,yes,yes,no,medium-high,yes,24.4,,96,1151,1612,3963,8,19.29,20,5.86,5.7,300,79,4.3,1.18,2.9331,2.0795,5.0126,F2-1,2017
F2-2,RN-F2-2-17,10/30/17,17-Nov,143.2662,no,yes,yes,no,medium-high,yes,24.4,,49,1115,1884,4258,8.1,21.52,17,5.73,4.27,338,85,4.62,1.38,3.74,2.2442,5.9842,F2-2,2017
F2-3,RN-F2-3-17,10/30/17,17-Nov,97.6815,no,yes,yes,no,medium-high,yes,24.4,,45,979,1756,4259,8.1,20.81,21,6.45,4.26,331,70,4.31,1.06,3.5417,1.5804,5.1221,F2-3,2017
F2-4,RN-F2-4-17,10/30/17,17-Nov,638.1858,no,yes,yes,no,medium-high,yes,24.4,,67,1170,1815,4800,8.3,22.66,29,6.76,6.47,348,79,4.32,0.92,3.8489,1.822,5.6709,F2-4,2017
F2-5,RN-F2-5-17,10/30/17,17-Nov,173.656,no,no,yes,no,none-low,yes,24.4,,80,956,1542,3574,7.9,18.18,21,4.58,5.22,330,86,4.27,1.13,4.6633,1.8029,6.4662,F2-5,2017
F2-6,RN-F2-6-17,10/30/17,17-Nov,371.1897,no,no,yes,no,none-low,yes,24.4,,71,957,1495,3616,7.9,18.09,17,4.04,3.98,313,95,4.32,1.1,7.4027,6.0837,13.4864,F2-6,2017
Cont1,TG-Cont1-17,10/30/17,17-Nov,264.8254,yes,no,no,yes,medium-high,no,16.3,,33,892,1704,5823,8.2,24,20,5.8,3.31,143,74,3.29,0.74,4.3368,1.8059,6.1427,Cont1,2017
Cont2,TG-Cont2-17,10/30/17,17-Nov,191.0216,yes,no,no,yes,medium-high,no,16.3,,32,768,1467,3194,8,16.68,17,5.4,2.5,125,71,2.82,0.51,2.7541,1.4765,4.2306,Cont2,2017
Cont3,TG-Cont3-17,10/30/17,17-Nov,392.8967,yes,yes,yes,yes,none-low,no,16.3,,60,797,1305,2628,7.8,14.22,14,4.48,4.01,146,75,2.63,0.48,3.7725,1.9417,5.7142,Cont3,2017
Cont4,TG-Cont4-17,10/30/17,17-Nov,475.3833,yes,yes,yes,yes,none-low,no,16.3,,73,857,1301,2707,7.8,14.88,17,4.11,5.11,147,70,2.59,0.66,2.6795,2.0418,4.7213,Cont4,2017
F2-1,RN-F2-1-17,12/22/17,17-Dec,466.7005,no,yes,yes,no,medium-high,yes,24.4,,141,1324,1730,4886,8.4,22.72,39,7.18,8.25,308,73,4.56,1.6,11.68,2.16,13.84,F2-1,2017
F2-2,RN-F2-2-17,12/22/17,17-Dec,822.6953,no,yes,yes,no,medium-high,yes,24.4,,78,1029,1635,4223,8.2,20.28,26,5.74,6.4,289,60,3.62,1.42,7.78,1.79,9.57,F2-2,2017
F2-3,RN-F2-3-17,12/22/17,17-Dec,722.8431,no,yes,yes,no,medium-high,yes,24.4,,66,1030,1924,4709,8.2,23.1,35,6.11,6.29,315,69,4.35,1.61,12.26,1.82,14.08,F2-3,2017
F2-4,RN-F2-4-17,12/22/17,17-Dec,523.1387,no,yes,yes,no,medium-high,yes,24.4,,68,1149,1551,3861,8.1,18.78,34,4.86,6.14,268,59,3.32,1.49,13.86,1.88,15.74,F2-4,2017
F2-5,RN-F2-5-17,12/22/17,17-Dec,199.7044,no,no,yes,no,none-low,yes,24.4,,49,869,1397,3367,8,16.95,28,4.51,4.17,270,58,3.83,1.17,7.82,1.69,9.51,F2-5,2017
F2-6,RN-F2-6-17,12/22/17,17-Dec,421.1158,no,no,yes,no,none-low,yes,24.4,,34,868,1518,3694,8,18.27,21,5.04,2.34,306,58,3.87,1.07,5.46,1.62,7.08,F2-6,2017
Cont1,TG-Cont1-17,12/22/17,17-Dec,790.1348,yes,no,no,yes,medium-high,no,16.3,,53,871,1661,3556,8.1,18.52,21,5.72,3.86,142,72,2.95,1.18,5,1.75,6.75,Cont1,2017
Cont2,TG-Cont2-17,12/22/17,17-Dec,429.7986,yes,no,no,yes,medium-high,no,16.3,,56,977,1616,3092,8.1,17.31,24,5.78,4.06,138,74,2.68,1.14,6.08,1.85,7.93,Cont2,2017
Cont3,TG-Cont3-17,12/22/17,17-Dec,733.6966,yes,yes,yes,yes,none-low,no,16.3,,57,776,1350,2748,8.1,15.08,15,4.78,3.62,152,65,2.42,0.98,5.5,1.77,7.27,Cont3,2017
Cont4,TG-Cont4-17,12/22/17,17-Dec,327.7757,yes,yes,yes,yes,none-low,no,16.3,,60,747,1182,2985,7.5,14.54,14,3.51,3.78,190,107,2.42,1.19,4,2,6,Cont4,2017
